2023-12-04 01:12:190 INFO  CheckoutPage :63 - Getting title of page : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> xpath: //div[@class='page-title']/h1]
2023-12-04 01:12:212 INFO  CheckoutPage :68 - Selecting country : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> id: BillingNewAddress_CountryId]
2023-12-04 01:12:308 INFO  CheckoutPage :73 - Entering city name : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> id: BillingNewAddress_City]
2023-12-04 01:12:371 INFO  CheckoutPage :78 - Enter an address : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> id: BillingNewAddress_Address1]
2023-12-04 01:12:437 INFO  CheckoutPage :83 - Entering city name : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> id: BillingNewAddress_ZipPostalCode]
2023-12-04 01:12:505 INFO  CheckoutPage :88 - Entering city name : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> id: BillingNewAddress_PhoneNumber]
2023-12-04 01:12:574 INFO  CheckoutPage :93 - Clicking on continue button : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> xpath: //div[@id='billing-buttons-container']/button[4]]
2023-12-04 01:12:624 INFO  CheckoutPage :98 - Clicking on continue button : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> xpath: //button[@class='button-1 shipping-method-next-step-button']]
2023-12-04 01:12:153 INFO  CheckoutPage :103 - Selecting payment radio button : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> xpath: //div[@class='payment-details']/input]
2023-12-04 01:12:202 INFO  CheckoutPage :108 - Clicking on payment method continue button : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> xpath: //div[@id='payment-method-buttons-container']/button]
2023-12-04 01:12:249 INFO  CheckoutPage :113 - Clicking on payment info continue button : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> xpath: //button[@class='button-1 payment-info-next-step-button']]
2023-12-04 01:12:490 INFO  CheckoutPage :118 - Clicking on confirm order continue button : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> xpath: //button[@class='button-1 confirm-order-next-step-button']]
2023-12-04 01:12:247 INFO  CheckoutPage :123 - Verify order placed successfully : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> xpath: //div[@class='page checkout-page order-completed-page']/div[2]/div/div/strong]
2023-12-04 01:12:277 INFO  CheckoutPage :128 - click on order details link : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> link text: Click here for order details.]
2023-12-04 01:12:571 INFO  OrderDetailsPage :26 - Getting title of page : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> xpath: //div[@class='page-title']/h1]
